T	M
1.000000000000e-02 1
1.000000000000e-01 1
4.341137123746e-01 9.991668479375e-01
7.682274247492e-01 9.936752318731e-01
1.102341137124e+00 9.871583290497e-01
1.436454849498e+00 9.760380690273e-01
1.770568561873e+00 9.553852410192e-01
2.104682274247e+00 9.197297212154e-01
2.438795986622e+00 8.798488494981e-01
2.772909698997e+00 8.375352451236e-01
3.107023411371e+00 7.946727353296e-01
3.441137123746e+00 7.501336213740e-01
3.775250836120e+00 7.074526909101e-01
4.109364548495e+00 6.657966094016e-01
4.443478260870e+00 6.268115105646e-01
4.777591973244e+00 5.894782700276e-01
5.111705685619e+00 5.543775332078e-01
5.445819397993e+00 5.212729460894e-01
5.779933110368e+00 4.899167916656e-01
6.114046822742e+00 4.602370431148e-01
6.448160535117e+00 4.323075990457e-01
6.782274247492e+00 4.060699907883e-01
7.116387959866e+00 3.817679031636e-01
7.450501672241e+00 3.591879693890e-01
7.784615384615e+00 3.381838727600e-01
8.118729096990e+00 3.185452962544e-01
8.452842809365e+00 3.001093075208e-01
8.786956521739e+00 2.827750989547e-01
9.121070234114e+00 2.665043830357e-01
9.455183946488e+00 2.512530589728e-01
9.789297658863e+00 2.370226819977e-01
1.012341137124e+01 2.237757600893e-01
1.045752508361e+01 2.114454949708e-01
1.079163879599e+01 1.999435729359e-01
1.112575250836e+01 1.891889135340e-01
1.145986622074e+01 1.790909787905e-01
1.179397993311e+01 1.695848572639e-01
1.212809364548e+01 1.606267287177e-01
1.246220735786e+01 1.521855271735e-01
1.279632107023e+01 1.442475904957e-01
1.313043478261e+01 1.367989470241e-01
1.346454849498e+01 1.298213216737e-01
1.379866220736e+01 1.232883185309e-01
1.413277591973e+01 1.171695475177e-01
1.446688963211e+01 1.114275373460e-01
1.480100334448e+01 1.060252948279e-01
1.513511705686e+01 1.009287783262e-01
1.546923076923e+01 9.610947553537e-02
1.580334448161e+01 9.154621784932e-02
1.613745819398e+01 8.722288031573e-02
1.647157190635e+01 8.312941981303e-02
1.680568561873e+01 7.925817600376e-02
1.713979933110e+01 7.560215495462e-02
1.747391304348e+01 7.215335000555e-02
1.780802675585e+01 6.890189647155e-02
1.814214046823e+01 6.583596589753e-02
1.847625418060e+01 6.294224310127e-02
1.881036789298e+01 6.020672331680e-02
1.914448160535e+01 5.761568500542e-02
1.947859531773e+01 5.515646082897e-02
1.981270903010e+01 5.281809283337e-02
2.014682274247e+01 5.059180866125e-02
2.048093645485e+01 4.847072304269e-02
2.081505016722e+01 4.644975660485e-02
2.114916387960e+01 4.452510896674e-02
2.148327759197e+01 4.269369581175e-02
2.181739130435e+01 4.095262775339e-02
2.215150501672e+01 3.929878065352e-02
2.248561872910e+01 3.772856522134e-02
2.281973244147e+01 3.623785120884e-02
2.315384615385e+01 3.482201846937e-02
2.348795986622e+01 3.347613064584e-02
2.382207357860e+01 3.219515157158e-02
2.415618729097e+01 3.097416004380e-02
2.449030100334e+01 2.980858251345e-02
2.482441471572e+01 2.869431585730e-02
2.515852842809e+01 2.762786718490e-02
2.549264214047e+01 2.660636188884e-02
2.582675585284e+01 2.562750754690e-02
2.616086956522e+01 2.468950979248e-02
2.649498327759e+01 2.379094583006e-02
2.682909698997e+01 2.293061700696e-02
2.716321070234e+01 2.210742768018e-02
2.749732441472e+01 2.132025453430e-02
2.783143812709e+01 2.056787956635e-02
2.816555183946e+01 1.984894634214e-02
2.849966555184e+01 1.916194843370e-02
2.883377926421e+01 1.850525264029e-02
2.916789297659e+01 1.787713589131e-02
2.950200668896e+01 1.727583943638e-02
2.983612040134e+01 1.669962776752e-02
3.017023411371e+01 1.614683232781e-02
3.050434782609e+01 1.561591040053e-02
3.083846153846e+01 1.510547109067e-02
3.117257525084e+01 1.461429916197e-02
3.150668896321e+01 1.414136158710e-02
3.184080267559e+01 1.368580048854e-02
3.217491638796e+01 1.324691224644e-02
3.250903010033e+01 1.282412380673e-02
3.284314381271e+01 1.241695171438e-02
3.317725752508e+01 1.202497282406e-02
3.351137123746e+01 1.164778993282e-02
3.384548494983e+01 1.128500430287e-02
3.417959866221e+01 1.093619391802e-02
3.451371237458e+01 1.060090186726e-02
3.484782608696e+01 1.027863154440e-02
3.518193979933e+01 9.968845746828e-03
3.551605351171e+01 9.670976202880e-03
3.585016722408e+01 9.384431224051e-03
3.618428093645e+01 9.108610355889e-03
3.651839464883e+01 8.842917114383e-03
3.685250836120e+01 8.586772777483e-03
3.718662207358e+01 8.339627142274e-03
3.752073578595e+01 8.100970376774e-03
3.785484949833e+01 7.870340917483e-03
3.818896321070e+01 7.647327334024e-03
3.852307692308e+01 7.431574040726e-03
3.885719063545e+01 7.222777922616e-03
3.919130434783e+01 7.020687258023e-03
3.952541806020e+01 6.825095372803e-03
3.985953177258e+01 6.635834944404e-03
4.019364548495e+01 6.452769938084e-03
4.052775919732e+01 6.275789339841e-03
4.086187290970e+01 6.104798727789e-03
4.119598662207e+01 5.939713096388e-03
4.153010033445e+01 5.780451670204e-03
4.186421404682e+01 5.626932840599e-03
4.219832775920e+01 5.479069797661e-03
4.253244147157e+01 5.336767791469e-03
4.286655518395e+01 5.199923114536e-03
4.320066889632e+01 5.068420972877e-03
4.353478260870e+01 4.942137035629e-03
4.386889632107e+01 4.820936424046e-03
4.420301003344e+01 4.704676298794e-03
4.453712374582e+01 4.593205306815e-03
4.487123745819e+01 4.486365983075e-03
4.520535117057e+01 4.383997426437e-03
4.553946488294e+01 4.285933912189e-03
4.587357859532e+01 4.192009577943e-03
4.620769230769e+01 4.102057408241e-03
4.654180602007e+01 4.015911477998e-03
4.687591973244e+01 3.933408127670e-03
4.721003344482e+01 3.854386474273e-03
4.754414715719e+01 3.778688854559e-03
4.787826086957e+01 3.706162501143e-03
4.821237458194e+01 3.636659121992e-03
4.854648829431e+01 3.570035237601e-03
4.888060200669e+01 3.506153165687e-03
4.921471571906e+01 3.444880499080e-03
4.954882943144e+01 3.386090780061e-03
4.988294314381e+01 3.329662137422e-03
5.021705685619e+01 3.275479955772e-03
5.055117056856e+01 3.223433328634e-03
5.088528428094e+01 3.173418359809e-03
5.121939799331e+01 3.125334783252e-03
5.155351170569e+01 3.079088376340e-03
5.188762541806e+01 3.034590007012e-03
